1.Basin.Name;2.Country;3.Ecoregion;4.Endorheic.Status;5.Outlet.Longitude;6.Outlet.Latitude;7.Median.Longitude;8.Median.Latitude;9.Surface.Area
Kumano;Japan;Palearctic;;135.996429;33.729698;135.8508138;33.99856068;2349.138015
Kumbukkan.Oya;Sri Lanka;Indo-Malay;;81.705696;6.508472;81.40918248;6.757650632;1224.261937
Kunchikumban.Aru;Sri Lanka;Indo-Malay;;81.06630172;8.857917;80.99776469;8.784482031;186.3809278
Kundalika;India;Indo-Malay;;72.89016385;18.45221104;73.19254847;18.4557632;667.243284
Kuppam;India;Indo-Malay;;75.28759766;11.98646981;75.43894252;12.14352674;497.2750676
Kurau;Malaysia;Indo-Malay;;100.5146591;4.90253327;100.7381217;5.000495198;650.589175
Kushiro;Japan;Palearctic;;144.3618589;42.97158141;144.4202708;43.32994103;2420.384413
Kuttiadi;India;Indo-Malay;;75.58533776;11.56336091;75.77793763;11.59763285;735.8404291
Kuybyshevskoe;Russia;Palearctic;;147.655151;45.081268;147.6342366;45.04823612;65.71564076
Ky.Lo;Vietnam;Indo-Malay;;109.2685653;13.30182526;108.9742019;13.43446474;1856.28675
Kyrulka;Russia;Palearctic;;147.87084;45.22417312;147.9443139;45.17608049;157.2573235
Lanyang;Taiwan;Indo-Malay;;121.830139;24.723194;121.5971778;24.61347786;1168.203165
Lianjiang;China;Indo-Malay;;109.9319323;21.45606393;110.1670718;21.83768409;3338.362421
Liao.He;China;Palearctic;;121.8331516;40.97756869;121.0306452;43.17623841;191509.696
Lingshui.He;China;Indo-Malay;;110.074586;18.491805;109.866413;18.65011431;1120.537873
Liugu.He;China;Palearctic;;120.5067867;40.27247259;120.0607105;40.6185139;3128.489702
Liwu;Taiwan;Indo-Malay;;121.661529;24.159028;121.4745397;24.20515562;623.864387
Lyutoga;Russia;Palearctic;;142.549912;46.709451;142.3206264;46.93382606;1446.848114
Ma.Oya;Sri Lanka;Indo-Malay;;80.909303;8.998749;80.70035333;8.775681487;1017.936075
Mabechi;Japan;Palearctic;;141.530548;40.539443;141.3002468;40.23311148;2634.867472
Madampe.lake;Sri Lanka;Indo-Malay;;80.052917;6.234028;80.10556652;6.243226677;78.48939805
